id_fait,annee,code_departement,id_indicateur,nombre_faits,taux_pour_mille,population,nombre_logements
412,2020,28,4,5,0.012,431443,218433
413,2020,29,4,6,0.007,917179,552465
414,2020,2A,4,3,0.019,160814,123650
415,2020,2B,4,5,0.027,182887,135125
416,2020,30,4,6,0.008,751457,435785
417,2020,31,4,13,0.009,1415757,754396
418,2020,32,4,1,0.005,191819,112134
419,2020,33,4,13,0.008,1636391,900198
420,2020,34,4,15,0.013,1188973,750002
421,2020,35,4,5,0.005,1088855,568308
422,2020,36,4,4,0.018,218707,138959
423,2020,37,4,6,0.010,612119,330454
424,2020,38,4,13,0.010,1277513,665362
425,2020,39,4,0,0.000,258798,151009
426,2020,40,4,7,0.017,418122,265930
427,2020,41,4,0,0.000,329357,185591
428,2020,42,4,13,0.017,768508,403254
429,2020,43,4,1,0.004,227489,144442
430,2020,44,4,10,0.007,1445171,776207
431,2020,45,4,7,0.010,682304,351028
432,2020,46,4,0,0.000,174670,120123
433,2020,47,4,7,0.021,330844,188120
434,2020,48,4,0,0.000,76633,61734
435,2020,49,4,6,0.007,820713,403157
436,2020,50,4,5,0.010,495093,301071
437,2020,51,4,6,0.011,566659,299421
438,2020,52,4,3,0.017,171798,100520
439,2020,53,4,3,0.010,306538,158874
440,2020,54,4,5,0.007,732590,381849
441,2020,55,4,3,0.016,183001,100007
442,2020,56,4,3,0.004,764161,476941
443,2020,57,4,11,0.010,1049155,527832
444,2020,58,4,4,0.020,202670,141219
445,2020,59,4,31,0.012,2607746,1241241
446,2020,60,4,10,0.012,829699,380003
447,2020,61,4,2,0.007,278475,164988
448,2020,62,4,12,0.008,1462167,724156
449,2020,63,4,5,0.008,661852,394760
450,2020,64,4,9,0.013,687240,417293
451,2020,65,4,2,0.009,229788,164545
452,2020,66,4,14,0.029,482765,359151
453,2020,67,4,8,0.007,1148073,575001
454,2020,68,4,4,0.005,767842,386082
455,2020,69,4,21,0.011,1883437,949531
456,2020,70,4,2,0.009,234601,128855
457,2020,71,4,4,0.007,551063,312880
458,2020,72,4,5,0.009,566993,294778
459,2020,73,4,5,0.011,439750,355575
460,2020,74,4,3,0.004,835206,533337
461,2020,75,4,19,0.009,2145906,1393800
462,2020,76,4,19,0.015,1254739,653680
463,2020,77,4,1,0.001,1428636,634163
464,2020,78,4,9,0.006,1449723,654741
465,2020,79,4,8,0.021,374481,196421
466,2020,80,4,6,0.011,568748,305380
467,2020,81,4,0,0.000,391066,215987
468,2020,82,4,2,0.008,262316,134694
469,2020,83,4,17,0.016,1085189,735547
470,2020,84,4,3,0.005,561941,311098
471,2020,85,4,2,0.003,692705,435953
472,2020,86,4,5,0.011,439332,243821
473,2020,87,4,3,0.008,372123,221779
474,2020,88,4,3,0.008,362397,214812
475,2020,89,4,1,0.003,334156,197870
476,2020,90,4,3,0.021,140120,73384
477,2020,91,4,10,0.008,1306118,577712
478,2020,92,4,12,0.007,1626213,815765
479,2020,93,4,32,0.019,1655422,696152
480,2020,94,4,21,0.015,1407972,654340
481,2020,95,4,14,0.011,1251804,523106
482,2021,01,4,3,0.005,663202,329783
483,2021,02,4,6,0.011,527468,268381
484,2021,03,4,0,0.000,334872,209666
485,2021,04,4,2,0.012,166077,131551
486,2021,05,4,1,0.007,140976,139877
487,2021,06,4,11,0.010,1103941,788916
488,2021,07,4,5,0.015,331415,209963
489,2021,08,4,2,0.007,268859,143973
490,2021,09,4,0,0.000,154596,111352
491,2021,10,4,2,0.006,311329,167657
492,2021,11,4,8,0.021,376028,268987
493,2021,12,4,3,0.011,279649,184954
494,2021,13,4,60,0.029,2056943,1066675
495,2021,14,4,5,0.007,700633,429997
496,2021,15,4,1,0.007,144226,102634
497,2021,16,4,6,0.017,350867,200757
